current_location,website,name,username,blood_group,address,birthdate,company,job,residence,mail,ssn,sex
"(Decimal('63.1252975'), Decimal('136.818643'))","['https://knight-snyder.com/', 'http://foley-garcia.com/']",Thomas Day,anthony04,AB-,"55170 Anthony Tunnel Suite 805
Elizabethstad, AS 19395",1951-06-14,"Horn, Kent and Bauer","Producer, radio","1430 Joseph Coves Suite 010
East Erin, KY 74009",xjones@gmail.com,050-93-0680,M
"(Decimal('54.168052'), Decimal('-103.401163'))","['https://liu-johnson.com/', 'http://sullivan.biz/', 'https://www.smith.net/']",Nancy Ray,ndunn,A+,"637 Jones Ports
Whiteburgh, DC 25618",2024-06-04,"Martinez, Nelson and Fowler",Graphic designer,"67088 Michael Isle
Martinezbury, UT 79788",helenthompson@gmail.com,029-13-2244,F
"(Decimal('38.1459335'), Decimal('152.842682'))","['http://www.hall.com/', 'https://www.jones.com/', 'https://www.salazar-roberson.com/']",Luis Washington,elizabeth24,A-,"200 Terri Walk
New Derrickmouth, MH 30526",1957-11-15,Reese-Sanders,"Scientist, audiological","2946 Joshua Lodge Suite 531
North Stephaniehaven, ID 39791",smithwendy@yahoo.com,418-55-0876,M
"(Decimal('71.5455655'), Decimal('97.708854'))",['https://hernandez.com/'],Jessica Williams,kwillis,B+,"USNV Weeks
FPO AP 20387",2022-05-01,Norton and Sons,Video editor,"64816 Caleb Springs Apt. 241
West Thomasshire, LA 48837",matthew51@yahoo.com,403-27-7917,F
"(Decimal('14.2282865'), Decimal('147.790382'))","['http://blake.net/', 'http://maldonado.com/']",Nicole Wright,wattstrevor,AB+,"14940 Adkins Court
Port Christopherland, WI 52851",1985-06-12,Elliott Ltd,Technical sales engineer,"80831 Amy Ranch
Gilbertview, RI 56728",jbarnett@gmail.com,729-35-0607,F
"(Decimal('-38.342639'), Decimal('38.892462'))","['http://baker-green.com/', 'http://george-delgado.net/', 'https://www.phelps.com/']",Joseph Garcia,jking,A+,"2812 Evan Road
Johnsonstad, ME 90519",1988-01-15,"Anderson, Hampton and Woods","Engineer, energy","6107 Mary Flat Suite 058
Jonesfurt, FM 49468",gabrielwillis@gmail.com,215-61-0348,M
"(Decimal('41.7654435'), Decimal('174.021624'))","['https://www.wolfe.com/', 'https://jones.com/', 'http://church.org/', 'http://www.tate.com/']",Christopher Massey,lchaney,O-,"6520 Willis Parkways Apt. 202
Port Crystalview, VI 56760",1996-09-27,Nichols-Robles,Colour technologist,"4553 Andrea Ramp
Holmesburgh, NE 52120",wardthomas@yahoo.com,025-88-9718,M
"(Decimal('-32.2126415'), Decimal('-38.040038'))","['https://moran-simpson.biz/', 'https://ramirez.biz/']",Kelly Cook,murraydeborah,AB+,"05168 Michael Union Apt. 762
Fosterborough, LA 83198",2008-09-27,Fernandez Ltd,Purchasing manager,"8649 Johnson Plains Suite 923
East Sandra, MH 32127",maureen34@hotmail.com,782-46-3946,F
"(Decimal('-31.325841'), Decimal('132.198968'))","['https://schneider-johnson.info/', 'https://blevins-gilbert.org/', 'http://mendoza.com/']",Joseph Li,scott71,AB+,"59561 Victoria Valleys Suite 588
North Theresastad, CT 42303",1954-12-04,Phillips-Tran,Learning mentor,"1270 Hooper Port Apt. 628
East Rebecca, SD 18275",stevensjames@gmail.com,300-01-3484,M
"(Decimal('-28.3526055'), Decimal('16.569280'))","['http://young.org/', 'http://www.bush.com/', 'https://www.brown.com/', 'http://www.gibson.com/']",Caroline Simmons,juliewilliams,AB-,"Unit 3858 Box 5490
DPO AE 92457",1934-02-12,"Marshall, White and Miller","Psychologist, sport and exercise","851 Young Summit Suite 599
South Cynthiaville, NH 99038",bonnie76@yahoo.com,138-23-7150,F
